tree_id,block_id,created_at,tree_dbh,stump_diam,curb_loc,status,health,spc_latin,spc_common,steward,guards,sidewalk,user_type,problems,root_stone,root_grate,root_other,trunk_wire,trnk_light,trnk_other,brch_light,brch_shoe,brch_other,address,zipcode,zip_city,cb_num,borocode,boroname,cncldist,st_assem,st_senate,nta,nta_name,boro_ct,state,latitude,longitude,x_sp,y_sp
305249,217378,2015-10-10,7,0,OnCurb,Alive,Good,Liquidambar styraciflua,sweetgum,None,None,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,312 SOUTH 4 STREET,11211,Brooklyn,301,3,Brooklyn,34,53,18,BK73,North Side-South Side,3052700,New York,40.70915563,-73.95558234,996564.4724,197644.1326
531457,413419,2015-12-22,4,0,OnCurb,Alive,Good,Acer rubrum,red maple,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,1290 ARTHUR KILL ROAD,10312,Staten Island,503,5,Staten Island,51,63,24,SI48,Arden Heights,5017007,New York,40.5651506,-74.18401323,933123.4913,145229.7736
220543,227218,2015-09-13,23,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,Volunteer,StonesRootOther,Yes,No,Yes,No,No,No,No,No,No,1074 CARROLL STREET,11225,Brooklyn,309,3,Brooklyn,35,57,20,BK63,Crown Heights South,3032300,New York,40.6673586,-73.9551561,996690.4403,182416.3137
246572,341646,2015-09-22,24,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,31-017 77 STREET,11370,East Elmhurst,403,4,Queens,25,34,13,QN28,Jackson Heights,4030903,New York,40.75818516,-73.89052061,1014580.033,215522.9607
716541,319322,2016-09-16,36,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,135-011 109 AVENUE,11419,South Richmond Hill,410,4,Queens,28,32,10,QN55,South Ozone Park,4015801,New York,40.68681237,-73.80882751,1037268.909,189558.5527
586087,325256,2016-06-14,11,0,OnCurb,Alive,Fair,Gleditsia triacanthos var. inermis,honeylocust,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,176-032 130 AVENUE,11434,Jamaica,412,4,Queens,27,32,10,QN08,St. Albans,4033401,New York,40.67951931,-73.76578448,1049213.346,186930.4743
619396,204559,2016-07-08,3,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,7503 SHORE ROAD,11209,Brooklyn,310,3,Brooklyn,43,64,22,BK31,Bay Ridge,3004400,New York,40.63342154,-74.03695682,973992.3502,170051.0878
413316,214285,2015-11-02,24,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,8114 AVENUE J,11236,Brooklyn,318,3,Brooklyn,46,59,19,BK50,Canarsie,3099600,New York,40.63456253,-73.91020098,1009173.981,170477.3933
276482,336559,2015-10-01,24,0,OnCurb,Alive,Good,Acer platanoides,Norway maple,None,None,Damage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,269-003 UNION TURNPIKE,11040,New Hyde Park,413,4,Queens,23,26,11,QN44,Glen Oaks-Floral Park-New Hyde Park,4155102,New York,40.75103026,-73.70481703,1066035.772,213035.0451
523910,410653,2015-12-17,11,0,OnCurb,Alive,Fair,Pyrus calleryana,Callery pear,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,5655 AMBOY ROAD,10309,Staten Island,503,5,Staten Island,51,62,24,SI32,Rossville-Woodrow,5020804,New York,40.5291912,-74.19796591,929217.2587,132137.39
177373,405281,2015-08-26,40,0,OnCurb,Alive,Fair,Salix babylonica,weeping willow,None,None,NoDamage,TreesCount Staff,StonesWiresRopeBranchLights,Yes,No,No,Yes,No,No,Yes,No,No,211 MAPLE PARKWAY,10303,Staten Island,501,5,Staten Island,49,61,23,SI12,Mariner's Harbor-Arlington-Port Ivory-Graniteville,5023100,New York,40.62803878,-74.15645487,940821.2597,168126.6228
356021,405004,2015-10-21,6,0,OnCurb,Alive,Good,Acer platanoides 'Crimson King',crimson king maple,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,217 AUBURN AVENUE,10314,Staten Island,501,5,Staten Island,50,61,24,SI28,Port Richmond,5025100,New York,40.61273551,-74.14912182,942847.2754,162547.696
11889,311073,2015-06-07,21,0,OnCurb,Alive,Fair,Acer pseudoplatanus,sycamore maple,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,146-001 56 ROAD,11355,Flushing,407,4,Queens,20,25,16,QN62,Queensboro Hill,4083700,New York,40.74584787,-73.82085617,1033888.953,211059.8909
465535,602366,2015-11-17,12,0,OffsetFromCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,270 RIVERSIDE DRIVE,10025,New York,107,1,Manhattan,6,69,31,MN12,Upper West Side,1018700,New York,40.79813305,-73.97389065,991478.9668,230059.4461
217044,219174,2015-09-11,11,0,OnCurb,Alive,Fair,Quercus palustris,pin oak,1or2,None,NoDamage,Volunteer,TrunkOtherBranchOther,No,No,No,No,No,Yes,No,No,Yes,331 WASHINGTON AVENUE,11205,Brooklyn,302,3,Brooklyn,35,57,25,BK69,Clinton Hill,3019700,New York,40.68888192,-73.96604391,993666.9418,190256.5208
280393,110984,2015-10-04,9,0,OnCurb,Dead,,,,,,,Volunteer,,No,No,No,No,No,No,No,No,No,40 WADSWORTH AVENUE,10033,New York,112,1,Manhattan,10,72,31,MN36,Washington Heights South,1026300,New York,40.84637828,-73.93758112,1001519.556,247642.011
291888,209572,2015-10-07,30,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,Damage,NYC Parks Staff,Stones,Yes,No,No,No,No,No,No,No,No,2247 EAST 29 STREET,11229,Brooklyn,315,3,Brooklyn,48,41,19,BK17,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,3059402,New York,40.59706746,-73.94220488,1000300.221,156809.4751
53257,407618,2015-07-07,17,0,OnCurb,Alive,Good,Acer saccharinum,silver maple,None,None,NoDamage,Volunteer,StonesBranchLights,Yes,No,No,No,No,No,Yes,No,No,48 FREEDOM AVENUE,10314,Staten Island,502,5,Staten Island,50,63,24,SI05,New Springville-Bloomfield-Travis,5029103,New York,40.5987987,-74.16410935,938676.5764,157477.6057
713182,340200,2016-09-14,10,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,Damage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,19-008 81 STREET,11371,Flushing,401,4,Queens,21,35,13,QN72,Steinway,4033100,New York,40.77272629,-73.88923108,1014930.584,220821.2182
161390,218319,2015-08-20,16,0,OnCurb,Alive,Good,Ginkgo biloba,ginkgo,1or2,Harmful,Damage,Volunteer,Stones,Yes,No,No,No,No,No,No,No,No,169 JACKSON STREET,11211,Brooklyn,301,3,Brooklyn,34,50,18,BK90,East Williamsburg,3049700,New York,40.71676026,-73.94397654,999780.3242,200416.5746
272658,509851,2015-09-30,3,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1014 WILCOX AVENUE,10465,Bronx,210,2,Bronx,13,82,34,BX52,Schuylerville-Throgs Neck-Edgewater Park,2016000,New York,40.83419926,-73.81932059,1034248.054,243250.1474
219880,107569,2015-09-12,5,0,OnCurb,Alive,Fair,Acer saccharum,sugar maple,3or4,Unsure,Damage,Volunteer,BranchOther,No,No,No,No,No,No,No,No,Yes,1025 LEXINGTON AVENUE,10021,New York,108,1,Manhattan,4,73,28,MN40,Upper East Side-Carnegie Hill,1012800,New York,40.77137286,-73.96138213,994946.5301,220311.0765
463922,339544,2015-11-17,4,0,OnCurb,Alive,Good,Prunus virginiana,'Schubert' chokecherry,1or2,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,13-062 EGGERT PLACE,11691,Far Rockaway,414,4,Queens,31,31,10,QN15,Far Rockaway-Bayswater,4103201,New York,40.60787701,-73.75910994,1051136.408,160834.3444
179249,229931,2015-08-27,10,0,OnCurb,Alive,Fair,Zelkova serrata,Japanese zelkova,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1602 AVENUE J,11230,Brooklyn,314,3,Brooklyn,44,48,17,BK43,Midwood,3053200,New York,40.62529268,-73.95969251,995439.018,167089.9385
396567,322075,2015-10-29,14,0,OnCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,NYC Parks Staff,WiresRopeBranchLights,No,No,No,Yes,No,No,Yes,No,No,220-004 40 AVENUE,11361,Bayside,411,4,Queens,19,26,11,QN46,Bayside-Bayside Hills,4111300,New York,40.76556612,-73.76311668,1049868.526,218281.8558
223093,346225,2015-09-14,27,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,None,Harmful,Damage,Volunteer,BranchLights,No,No,No,No,No,No,Yes,No,No,63-025 72 STREET,11379,Middle Village,405,4,Queens,30,28,15,QN21,Middle Village,4066100,New York,40.71723806,-73.88316858,1016636.727,200607.2813
266356,110542,2015-09-28,3,0,OnCurb,Alive,Fair,Ginkgo biloba,ginkgo,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,2225 5 AVENUE,10037,New York,111,1,Manhattan,9,70,30,MN34,East Harlem North,1021000,New York,40.81347444,-73.9369625,1001699.337,235654.0576
637412,318472,2016-07-21,0,27,OnCurb,Stump,,,,,,,TreesCount Staff,,No,No,No,No,No,No,No,No,No,111-032 113 STREET,11420,South Ozone Park,410,4,Queens,28,31,10,QN55,South Ozone Park,4010000,New York,40.67813022,-73.82593386,1032531.006,186385.5095
51067,414647,2015-07-06,6,0,OnCurb,Alive,Poor,Acer platanoides 'Crimson King',crimson king maple,None,None,NoDamage,NYC Parks Staff,None,No,No,No,No,No,No,No,No,No,5 TUDOR STREET,10308,Staten Island,503,5,Staten Island,51,62,24,SI54,Great Kills,5014605,New York,40.55865142,-74.14676766,943467.8772,142842.4263
324416,413295,2015-10-14,11,0,OnCurb,Alive,Poor,Acer saccharinum,silver maple,None,None,NoDamage,NYC Parks Staff,TrunkOtherBranchOther,No,No,No,No,No,Yes,No,No,Yes,211 VETERANS ROAD WEST,10309,Staten Island,503,5,Staten Island,51,62,24,SI32,Rossville-Woodrow,5020801,New York,40.55489649,-74.21415398,924740.0242,141512.9959
510134,513338,2015-12-10,13,0,OffsetFromCurb,Alive,Good,Quercus palustris,pin oak,None,None,NoDamage,TreesCount Staff,None,No,No,No,No,No,No,No,No,No,1824 ALLERTON AVENUE,10469,Bronx,212,2,Bronx,12,82,36,BX03,Eastchester-Edenwald-Baychester,2035600,New York,40.86647077,-73.83219858,1030661.905,255000.7765
128507,221444,2015-08-08,4,0,OnCurb,Alive,Good,Styphnolobium japonicum,Sophora,None,None,Damage,Volunteer,None,No,No,No,No,No,No,No,No,No,283 HART STREET,11206,Brooklyn,303,3,Brooklyn,36,54,18,BK35,Stuyvesant Heights,3028300,New York,40.69427897,-73.93951641,1001022.379,192226.7892
248078,304167,2015-09-22,27,0,OnCurb,Alive,Good,Platanus x acerifolia,London planetree,1or2,Helpful,NoDamage,Volunteer,None,No,No,No,No,No,No,No,No,No,39-074 LOCUST STREET,11104,Sunnyside,402,4,Queens,26,37,12,QN31,Hunters Point-Sunnyside-West Maspeth,4018300,New York,40.74796662,-73.91969135,1006502.023,211791.2612
